Hour,GROUND_R5_Temp,GROUND_R5_Humidity,UPPER_R5_Temp,UPPER_R5_Humidity,District Heating Water Energy : HOT WATER LOOP DISTRICT HEATING,DistrictCooling:Facility : None,Electricity:Facility : None,Fans:Electricity : None,InteriorEquipment:Electricity : None,InteriorLights:Electricity : None,Pumps:Electricity : None,Water:Facility : None,Total Energy
48,21.531408889954424,66.85129198458442,21.295189978405272,50.99190927049008,497897897.5193584,81405198.75560886,90111326.20042254,8673228.299255883,64510710.61825748,14968356.060171671,1959031.2227375442,0.21570813091866772,283212358.2920783
49,21.53210844510599,66.29370755184824,21.175212227350357,50.36396398368819,503862959.98113215,79813712.94866222,72816939.07273795,8673228.299255883,49884138.24231657,12278055.081989996,1981517.4491755108,0.059505691287907315,267375830.04933608
50,21.531951106523703,65.47244030256724,20.92371919992216,48.65483626863436,506471675.51772213,67632800.26434654,68450358.40799956,8673228.299255883,45571976.87178277,12278055.081989996,1927098.154970892,0.029752845643953606,259818517.00202245
51,21.533869893851875,63.689727997965825,20.760025328087107,45.51115962358454,506991516.2207419,58167749.37733893,66289071.4844779,8673228.299255883,43415896.1865159,12278055.081989996,1921891.9167161435,0.007438211410988301,254675493.35050488
52,21.534117193889657,61.280511715262485,20.67502211241123,42.935417712211255,507637399.7729587,54637495.29216775,65239957.53401717,8673228.299255883,42337855.84388244,12278055.081989996,1950818.3088888424,0.007438211410988301,252664922.555726
53,21.53309942474549,58.876257447639865,20.720619790132705,42.29282439395645,507003025.2576055,58627538.98793447,69519322.96507436,8673228.299255883,42949903.765588544,15865123.000067241,2031067.9001626929,0.029752845643953606,258062844.38025433
54,21.532436888807126,56.959607020856886,20.710673880286585,42.92479410630494,505246805.51338917,59494323.80233795,82404874.28303072,8673228.299255883,49564201.322168,22142492.054821134,2024952.606785716,0.2008317080966909,270651917.3882731
55,21.531527282300527,56.45524379501149,20.776876729523877,44.62245832717475,500521799.18273336,62013956.5232976,97587071.37158924,8673228.299255883,63870836.777960315,23039258.9947167,2003747.2996563131,0.6991918726329261,285098989.94026625
56,21.681870343420314,56.19586516476968,20.854891696068655,45.90846566331799,502656250.2978426,62988927.57384754,110145008.55278318,8673228.299255883,77345033.15809168,22142492.054821134,1984255.0406144457,0.7438211410988574,298693401.1766799
57,21.685906175876823,56.560654725538235,20.79599217516145,47.115882406513585,504512394.52464676,66189589.36731184,110036877.99410877,8673228.299255883,80490464.82972063,18878146.32000185,1995038.5451303795,0.7140682954549032,300270872.62476164
58,21.68491067112826,56.73374690803132,20.85577192397473,48.279703124844154,508210797.83325523,77073152.87911475,107561997.59865433,8673228.299255883,79732361.40723576,17084612.28171575,2071795.6104469255,0.62480975852304,302656647.836111
59,21.684892537749487,58.751657844876284,20.938056260623288,51.72745653133534,509057432.4803553,90843327.75922896,107326953.39264846,8673228.299255883,79440250.40567827,17084612.28171575,2128862.4059985816,0.5653040672351313,307293873.47250986
60,21.685183890276793,61.472422091981144,21.033150173237853,53.36425093710346,509584783.6406025,106954175.77628425,108511249.33481427,8673228.299255883,80518290.7483117,17084612.28171575,2235118.005530919,0.4537308960703022,314024235.80710983
61,21.66027224069465,63.43904332554265,21.0737415414111,53.82626577699344,510247624.12078357,116365577.6760146,106848704.92199568,8673228.299255883,79247091.02574714,16647577.676767655,2280807.9202250214,0.3942252047823942,315719772.18759507
62,21.635750556914477,64.06906711029856,21.194055941777535,54.084281118815,495712630.7036071,131097299.13491735,104288561.52703454,8673228.299255883,76206129.37777792,17084612.28171575,2324591.568285,0.3495959363164626,313225204.8065427
63,21.61573257193307,65.45529304542798,21.204936210838707,53.82368778836542,479012075.1102237,134907517.1471961,103196693.96423894,8673228.299255883,75128089.03514448,17084612.28171575,2310764.3481228515,0.30496666785053084,307836558.05004555
64,21.622024422392652,65.70199939430648,21.239545884601817,52.24124816458629,467901478.14189744,135148873.77313095,109119820.27147295,8673228.299255883,78362210.0630448,19774913.4183924,2309468.4907798856,0.3495959363164626,310136604.24314904
65,21.68543950547195,64.84388351803126,21.288884599111643,50.756734069373046,472206336.8492484,129032299.98989354,130760178.21642861,8673228.299255883,93746885.8614706,26052282.314651314,2287781.7410508357,0.40910162760437124,331173057.16280925
