Hour,Hydrogen_Produced_kg,Hydrogen_Stored_kg,Hydrogen_Used_kg,Electrolysis_Heat_Gain_kWh,FuelCell_Heat_Gain_kWh,Electrolysis Heat Consummed_kW,Energy_Consumption_kWh,Generated_PV_Power_kW,P_net_kW,Electrolysis Energy Consummed_kW,Fuel Cell Generated Energy_kWh,Useful_Energy_After_Storage_kWh,Water_Waste_filtered_kg,Tap_Water_Used_kg,Water_Needed_kg,Water_Produced_in_FuelCell_kg
35,2.283560838113035,3.9874215277731166,0.0,38.05554136715373,0.0,1.5908807172187478,88.06483508170982,214.9166396388889,126.8518045571791,126.8518045571791,0.0,88.06483529485102,90.74617921406045,20.552047543017316,20.552047543017316,0.0
36,2.879700911125628,6.867122438898745,0.0,47.99021568390859,0.0,2.0061916347508544,88.08874730363803,248.05613291666666,159.96738561302863,159.96738561302863,0.0,88.08874542272689,78.84504095647884,25.917308200130652,25.917308200130652,0.0
37,2.7481727280328023,9.615295166931547,0.0,45.79829851266665,0.0,1.914560333862852,87.6483341244445,240.30932916666666,152.66099504222217,152.66099504222217,0.0,87.64833465383505,69.91918726329251,24.73355455229522,24.73355455229522,0.0
38,2.2717384361059456,11.887033603037493,0.0,37.85852103770558,0.0,1.5826444438204752,87.07318195764806,213.26825208333332,126.19507012568526,126.19507012568526,0.0,87.07318072489825,60.99333357010616,20.44564592495351,20.44564592495351,0.0
39,1.09756148014131,12.984595083178803,0.0,18.29086206655493,0.0,0.7646344978317793,88.84839188926134,149.8179321111111,60.96954022184977,60.96954022184977,0.0,88.8483910301287,69.91918726329251,9.878053321271791,9.878053321271791,0.0
40,0.0,11.283955594113797,1.7006394890650065,0.0,8.16225324055728,0.0,94.48788192500862,53.67661572222222,-40.8112662027864,0.0,40.8112662027864,94.48788192500862,81.82032552087425,0.0,0.0,15.305755401585058
41,0.0,8.158643062860671,3.1253125312531256,0.0,15.0,0.0,99.40262492925117,5.405731391666667,-93.99689353758451,0.0,75.0,80.40573139166666,108.59788660043309,0.0,0.0,28.12781278127813
42,0.0,5.033330531607545,3.1253125312531256,0.0,15.0,0.0,99.19614446282013,0.155666583,-99.04047787982013,0.0,75.0,75.155666583,127.93723626900338,0.0,0.0,28.12781278127813
43,0.0,1.9080180003544194,3.1253125312531256,0.0,15.0,0.0,97.53560868859147,0.0,-97.53560868859147,0.0,75.0,75.0,121.98666714021263,0.0,0.0,28.12781278127813
44,0.0,0.0,1.9080180003544194,0.0,9.157570553061042,0.0,96.14569918642094,0.0,-96.14569918642094,0.0,45.78785276530521,45.78785276530521,111.57317116482857,0.0,0.0,17.172162003189776
